customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureBucket,ChargeTier,ServiceCount,ChurnFlag,AtRisk
1532-ABCD,Female,0,No,Yes,56,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,68.17,3817.52,Yes,49-72 months,High (>$65),1,1,0
4404-ABCD,Female,0,No,Yes,68,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),58.25,3961.0,Yes,49-72 months,Mid ($35-65),1,1,0
2393-ABCD,Female,0,Yes,No,65,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,46.26,3006.9,Yes,49-72 months,Mid ($35-65),0,1,0
8336-ABCD,Female,0,No,Yes,43,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,60.88,2617.84,Yes,25-48 months,Mid ($35-65),4,1,0
8922-ABCD,Female,0,No,Yes,67,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,57.28,3837.76,No,49-72 months,Mid ($35-65),4,0,0
5087-ABCD,Male,0,No,Yes,6,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,41.45,248.7,No,0-12 months,Mid ($35-65),2,0,0
7445-ABCD,Male,0,No,No,14,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,51.85,725.9,No,13-24 months,Mid ($35-65),2,0,0
4605-ABCD,Female,0,Yes,Yes,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,46.63,139.89,No,0-12 months,Mid ($35-65),0,0,1
3145-ABCD,Male,0,Yes,No,23,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,44.99,1034.77,No,13-24 months,Mid ($35-65),4,0,0
1903-ABCD,Male,0,Yes,No,28,No,No,DSL,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),64.39,1802.92,No,25-48 months,Mid ($35-65),1,0,0
6931-ABCD,Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,70.1,1331.9,Yes,13-24 months,High (>$65),2,1,0
3078-ABCD,Female,0,No,Yes,60,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,87.14,5228.4,Yes,49-72 months,High (>$65),0,1,0
7448-ABCD,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,94.54,2458.04,Yes,25-48 months,High (>$65),1,1,0
4557-ABCD,Male,1,No,No,20,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,62.13,1242.6,No,13-24 months,Mid ($35-65),4,0,0
2587-ABCD,Male,0,No,No,39,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),24.05,937.95,No,25-48 months,Low (<$35),0,0,0
5930-ABCD,Female,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.02,790.2,Yes,0-12 months,High (>$65),1,1,0
7680-ABCD,Female,0,Yes,Yes,58,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),60.08,3484.64,No,49-72 months,Mid ($35-65),1,0,0
4660-ABCD,Female,1,Yes,No,5,No,No,DSL,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),35.12,175.6,No,0-12 months,Mid ($35-65),1,0,0
6711-ABCD,Female,0,Yes,Yes,72,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),23.33,1679.76,No,49-72 months,Low (<$35),0,0,0
4115-ABCD,Female,0,No,No,56,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,20.08,1124.48,No,49-72 months,Low (<$35),0,0,0
8573-ABCD,Male,0,No,Yes,14,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,27.55,385.7,No,13-24 months,Low (<$35),1,0,0
9565-ABCD,Male,1,No,No,0,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),21.51,0.0,No,0-12 months,Low (<$35),0,0,0
3066-ABCD,Male,1,No,No,59,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),52.71,3109.89,No,49-72 months,Mid ($35-65),2,0,0
9892-ABCD,Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.87,4430.37,No,49-72 months,High (>$65),2,0,0
9411-ABCD,Male,0,No,No,53,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,73.36,3888.08,No,49-72 months,High (>$65),3,0,0
8572-ABCD,Female,0,No,No,56,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,41.35,2315.6,Yes,49-72 months,Mid ($35-65),3,1,0
1296-ABCD,Female,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),66.56,332.8,Yes,0-12 months,High (>$65),2,1,0
7647-ABCD,Male,0,No,No,26,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),50.77,1320.02,Yes,25-48 months,Mid ($35-65),1,1,0
7313-ABCD,Female,1,Yes,No,8,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,46.94,375.52,Yes,0-12 months,Mid ($35-65),5,1,0
8804-ABCD,Female,0,No,No,63,No,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,71.2,4485.6,No,49-72 months,High (>$65),0,0,0
8797-ABCD,Female,0,No,No,45,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,18.44,829.8,No,25-48 months,Low (<$35),0,0,0
9454-ABCD,Female,0,No,Yes,24,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.05,1801.2,Yes,13-24 months,High (>$65),4,1,0
4417-ABCD,Male,0,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.21,344.84,Yes,0-12 months,High (>$65),1,1,0
4512-ABCD,Male,0,No,No,22,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),37.79,831.38,Yes,13-24 months,Mid ($35-65),1,1,0
8609-ABCD,Male,0,No,No,23,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.44,1666.12,No,13-24 months,High (>$65),0,0,0
4600-ABCD,Female,0,No,No,53,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Electronic check,40.23,2132.19,No,49-72 months,Mid ($35-65),1,0,0
5793-ABCD,Female,0,Yes,No,46,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),23.11,1063.06,No,25-48 months,Low (<$35),0,0,0
3879-ABCD,Female,0,No,No,64,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),27.31,1747.84,Yes,49-72 months,Low (<$35),0,1,0
3317-ABCD,Male,0,No,No,34,Yes,No,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),28.6,972.4,No,25-48 months,Low (<$35),0,0,0
7275-ABCD,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),97.51,780.08,Yes,0-12 months,High (>$65),2,1,0
4279-ABCD,Female,0,Yes,No,52,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,48.7,2532.4,Yes,49-72 months,Mid ($35-65),1,1,0
4859-ABCD,Female,0,Yes,No,55,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),51.38,2825.9,No,49-72 months,Mid ($35-65),2,0,0
6024-ABCD,Male,0,Yes,No,40,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),68.73,2749.2,No,25-48 months,High (>$65),4,0,0
8728-ABCD,Female,0,Yes,No,56,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),94.75,5306.0,Yes,49-72 months,High (>$65),2,1,0
4124-ABCD,Male,0,Yes,No,38,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),29.48,1120.24,Yes,25-48 months,Low (<$35),0,1,0
9676-ABCD,Male,1,Yes,Yes,31,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,59.2,1835.2,No,25-48 months,Mid ($35-65),1,0,0
1112-ABCD,Male,0,Yes,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,29.8,29.8,Yes,0-12 months,Low (<$35),1,1,0
8364-ABCD,Female,0,No,No,7,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,94.59,662.13,Yes,0-12 months,High (>$65),1,1,0
4433-ABCD,Male,0,No,Yes,2,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),51.78,103.56,Yes,0-12 months,Mid ($35-65),3,1,0
5281-ABCD,Female,0,No,No,46,No,No,No,No,No,No,No,No,No,Two year,No,Mailed check,28.38,1305.48,No,25-48 months,Low (<$35),0,0,0
3851-ABCD,Male,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,68.93,1516.46,Yes,13-24 months,High (>$65),4,1,0
6566-ABCD,Male,0,Yes,No,37,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.36,2270.32,Yes,25-48 months,Mid ($35-65),1,1,0
8592-ABCD,Male,0,No,Yes,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.92,4878.72,No,49-72 months,High (>$65),1,0,0
3847-ABCD,Male,0,No,No,18,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.27,1570.86,No,13-24 months,High (>$65),2,0,0
9832-ABCD,Male,0,Yes,Yes,29,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,46.46,1347.34,No,25-48 months,Mid ($35-65),1,0,0
6781-ABCD,Female,0,Yes,Yes,55,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),29.63,1629.65,No,49-72 months,Low (<$35),0,0,0
5556-ABCD,Female,0,No,Yes,16,No,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.87,1213.92,Yes,13-24 months,High (>$65),3,1,0
4919-ABCD,Male,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,98.94,494.7,Yes,0-12 months,High (>$65),3,1,0
2053-ABCD,Male,0,No,No,21,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,80.35,1687.35,No,13-24 months,High (>$65),5,0,0
5818-ABCD,Male,0,No,No,11,No,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),34.5,379.5,No,0-12 months,Low (<$35),2,0,1
5232-ABCD,Female,0,Yes,No,67,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,38.85,2602.95,No,49-72 months,Mid ($35-65),1,0,0
3144-ABCD,Female,1,Yes,No,58,No,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,50.94,2954.52,No,49-72 months,Mid ($35-65),3,0,0
3809-ABCD,Female,0,No,No,46,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,29.55,1359.3,Yes,25-48 months,Low (<$35),1,1,0
9920-ABCD,Male,0,Yes,Yes,63,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,28.92,1821.96,Yes,49-72 months,Low (<$35),0,1,0
8967-ABCD,Male,0,No,No,58,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),30.85,1789.3,No,49-72 months,Low (<$35),1,0,0
7358-ABCD,Male,0,Yes,No,13,No,No,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),20.88,271.44,No,13-24 months,Low (<$35),0,0,0
5107-ABCD,Female,0,No,Yes,65,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,29.62,1925.3,Yes,49-72 months,Low (<$35),0,1,0
2311-ABCD,Male,0,Yes,No,39,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,40.93,1596.27,No,25-48 months,Mid ($35-65),5,0,0
6727-ABCD,Female,0,No,No,58,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,31.27,1813.66,No,49-72 months,Low (<$35),4,0,0
1166-ABCD,Female,0,Yes,Yes,65,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),24.35,1582.75,No,49-72 months,Low (<$35),0,0,0
5450-ABCD,Female,0,Yes,Yes,23,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.47,447.81,No,13-24 months,Low (<$35),0,0,0
8940-ABCD,Male,0,No,No,8,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,51.45,411.6,Yes,0-12 months,Mid ($35-65),5,1,0
4283-ABCD,Female,0,Yes,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,97.24,1555.84,Yes,13-24 months,High (>$65),1,1,0
6840-ABCD,Male,0,Yes,No,31,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.1,592.1,Yes,25-48 months,Low (<$35),0,1,0
2942-ABCD,Female,0,Yes,No,59,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,90.21,5322.39,Yes,49-72 months,High (>$65),1,1,0
2528-ABCD,Male,0,No,No,62,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,27.18,1685.16,No,49-72 months,Low (<$35),0,0,0
8963-ABCD,Male,0,No,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,92.46,0.0,No,0-12 months,High (>$65),0,0,0
4199-ABCD,Male,0,No,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,58.0,2146.0,No,25-48 months,Mid ($35-65),2,0,0
8720-ABCD,Female,0,Yes,No,30,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),61.57,1847.1,No,25-48 months,Mid ($35-65),2,0,0
9480-ABCD,Male,0,Yes,No,16,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,66.67,1066.72,Yes,13-24 months,High (>$65),2,1,0
9644-ABCD,Male,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,54.43,435.44,Yes,0-12 months,Mid ($35-65),2,1,0
5217-ABCD,Male,1,No,Yes,24,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),38.82,931.68,No,13-24 months,Mid ($35-65),1,0,0
1727-ABCD,Male,0,No,Yes,68,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),48.17,3275.56,No,49-72 months,Mid ($35-65),1,0,0
5050-ABCD,Female,0,No,No,23,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,28.11,646.53,Yes,13-24 months,Low (<$35),0,1,0
8717-ABCD,Male,0,No,No,37,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),43.27,1600.99,No,25-48 months,Mid ($35-65),1,0,0
1363-ABCD,Female,0,No,No,51,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,33.14,1690.14,No,49-72 months,Low (<$35),1,0,0
4783-ABCD,Female,0,Yes,No,26,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),64.24,1670.24,No,25-48 months,Mid ($35-65),3,0,0
2509-ABCD,Female,0,Yes,No,70,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),26.94,1885.8,No,49-72 months,Low (<$35),3,0,0
2073-ABCD,Male,0,Yes,Yes,70,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Mailed check,25.63,1794.1,No,49-72 months,Low (<$35),4,0,0
9771-ABCD,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,67.07,1207.26,Yes,13-24 months,High (>$65),1,1,0
2752-ABCD,Female,0,No,No,36,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,67.07,2414.52,No,25-48 months,High (>$65),3,0,0
7790-ABCD,Female,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),66.94,1405.74,No,13-24 months,High (>$65),2,0,0
1446-ABCD,Male,0,No,No,20,No,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),63.41,1268.2,Yes,13-24 months,Mid ($35-65),3,1,0
